FILENAME;PID;FILEEXTENSION;MIMETYPE;LABEL;NOTE
002894793105_A2_Andante_cantabile_con_moto.mp3;14859435;mp3;audio/mpeg;A2: Andante cantabile con moto;002894793105 A2 Andante cantabile con moto.mp3
002894793105_A3_Menuetto_Allegro_molto_e_vivace.mp3;14859436;mp3;audio/mpeg;A3: Menuetto Allegro molto e vivace;002894793105 A3 Menuetto Allegro molto e vivace.mp3
002894793105_A4a_Adagio.mp3;14859437;mp3;audio/mpeg;A4a: Adagio;002894793105 A4a Adagio.mp3
002894793105_A4b_Allegro_molto_e_vivace.mp3;14859438;mp3;audio/mpeg;A4b: Allegro molto e vivace;002894793105 A4b Allegro molto e vivace.mp3
002894793105_A5_Allegro_vivace_e_con_brio.mp3;14859439;mp3;audio/mpeg;A5: Allegro vivace e con brio;002894793105 A5 Allegro vivace e con brio.mp3
002894793105_A6_Allegretto_scherzando.mp3;14859440;mp3;audio/mpeg;A6: Allegretto scherzando;002894793105 A6 Allegretto scherzando.mp3
002894793105_A7_Tempo_di_Menuetto.mp3;14859441;mp3;audio/mpeg;A7: Tempo di Menuetto;002894793105 A7 Tempo di Menuetto.mp3
002894793105_A8_Allegro_vivace.mp3;14859442;mp3;audio/mpeg;A8: Allegro vivace;002894793105 A8 Allegro vivace.mp3
002894793106_A1_Allegro_con_brio.mp3;14859474;mp3;audio/mpeg;A1: Allegro con brio;002894793106 A1 Allegro con brio.mp3
002894793106_A2_Marcia_funebre__Adagio_assai_.mp3;14859475;mp3;audio/mpeg;A2: Marcia funebre (Adagio assai);002894793106 A2 Marcia funebre (Adagio assai).mp3
002894793106_A3_Scherzo__Allegro_vivace_.mp3;14859476;mp3;audio/mpeg;A3: Scherzo (Allegro vivace);002894793106 A3 Scherzo (Allegro vivace).mp3
002894793106_A4_Finale__Allegro_molto_.mp3;14859477;mp3;audio/mpeg;A4: Finale (Allegro molto);002894793106 A4 Finale (Allegro molto).mp3
002894793106_A5_Ouvert_re_Leonore_III.mp3;14859478;mp3;audio/mpeg;A5: Ouvertüre Leonore III;002894793106 A5 Ouvertüre Leonore III.mp3
002894793106_A6_Andante_allegro.mp3;14859479;mp3;audio/mpeg;A6: Andante allegro;002894793106 A6 Andante allegro.mp3
002894793106_A7_Larghetto.mp3;14859480;mp3;audio/mpeg;A7: Larghetto;002894793106 A7 Larghetto.mp3
002894793106_A8_Allegro_moderato.mp3;14859481;mp3;audio/mpeg;A8: Allegro moderato;002894793106 A8 Allegro moderato.mp3
002894793107_A1_Allegro_con_brio.mp3;14859511;mp3;audio/mpeg;A1: Allegro con brio;002894793107 A1 Allegro con brio.mp3
002894793107_A2_Andante_con_moto.mp3;14859512;mp3;audio/mpeg;A2: Andante con moto;002894793107 A2 Andante con moto.mp3
002894793107_A3_Allegro.mp3;14859513;mp3;audio/mpeg;A3: Allegro;002894793107 A3 Allegro.mp3
002894793107_A4_Allegro.mp3;14859514;mp3;audio/mpeg;A4: Allegro;002894793107 A4 Allegro.mp3
002894793107_A5a_Poco_sostenuto.mp3;14859515;mp3;audio/mpeg;A5a: Poco sostenuto;002894793107 A5a Poco sostenuto.mp3
002894793107_A5b_Vivace.mp3;14859516;mp3;audio/mpeg;A5b: Vivace;002894793107 A5b Vivace.mp3
002894793107_A6_Allegretto.mp3;14859517;mp3;audio/mpeg;A6: Allegretto;002894793107 A6 Allegretto.mp3
002894793107_A7_Scherzo_Presto.mp3;14859518;mp3;audio/mpeg;A7: Scherzo Presto;002894793107 A7 Scherzo Presto.mp3
002894793107_A8_Allegro_con_brio.mp3;14859519;mp3;audio/mpeg;A8: Allegro con brio;002894793107 A8 Allegro con brio.mp3
002894793108_A1_Overture_Egmont.mp3;14859550;mp3;audio/mpeg;A1: Overture-Egmont;002894793108 A1 Overture-Egmont.mp3
002894793108_A2_Allegro_ma_non_troppo__un_poco_maestoso.mp3;14859551;mp3;audio/mpeg;A2: Allegro ma non troppo, un poco maestoso;002894793108 A2 Allegro ma non troppo, un poco maestoso.mp3
002894793108_A3_Molto_vivace.mp3;14859552;mp3;audio/mpeg;A3: Molto vivace;002894793108 A3 Molto vivace.mp3
002894793108_A4_Adagio_molto_e_cantabile.mp3;14859553;mp3;audio/mpeg;A4: Adagio molto e cantabile;002894793108 A4 Adagio molto e cantabile.mp3
002894793108_A5a_Presto.mp3;14859554;mp3;audio/mpeg;A5a: Presto;002894793108 A5a Presto.mp3
002894793108_A5b_Presto___O_Freunde__nicht_diese_T_ne___Allegro_assai.mp3;14859555;mp3;audio/mpeg;A5b: Presto - O Freunde, nicht diese Töne - Allegro assai;002894793108 A5b Presto - O Freunde, nicht diese Töne - Allegro assai.mp3
002894793109_A10_Cleopatra_s_Dance.mp3;14861162;mp3;audio/mpeg;A10: Cleopatra's Dance;002894793109 A10 Cleopatra's Dance.mp3
002894793109_A11_Dance_of_the_Trojan_Maidens.mp3;14861163;mp3;audio/mpeg;A11: Dance of the Trojan Maidens;002894793109 A11 Dance of the Trojan Maidens.mp3
002894793109_A12_Helen_s_Dance.mp3;14861164;mp3;audio/mpeg;A12: Helen's Dance;002894793109 A12 Helen's Dance.mp3
002894793109_A13_Bacchanalia.mp3;14861165;mp3;audio/mpeg;A13: Bacchanalia;002894793109 A13 Bacchanalia.mp3
002894793109_A14_Waltz__Akt_2_.mp3;14861166;mp3;audio/mpeg;A14: Waltz (Akt 2);002894793109 A14 Waltz (Akt 2).mp3
002894793109_A1_Le_Carnaval_Romain.mp3;14861153;mp3;audio/mpeg;A1: Le Carnaval Romain;002894793109 A1 Le Carnaval Romain.mp3
002894793109_A2_Ballet_des_Sylphes.mp3;14861154;mp3;audio/mpeg;A2: Ballet des Sylphes;002894793109 A2 Ballet des Sylphes.mp3
002894793109_A3_Marche_hongroise.mp3;14861155;mp3;audio/mpeg;A3: Marche hongroise;002894793109 A3 Marche hongroise.mp3
002894793109_A4_Eine_Steppenskizze_aus_Mittelasien.mp3;14861156;mp3;audio/mpeg;A4: Eine Steppenskizze aus Mittelasien;002894793109 A4 Eine Steppenskizze aus Mittelasien.mp3
002894793109_A5_Polovtsian_Dances.mp3;14861157;mp3;audio/mpeg;A5: Polovtsian Dances;002894793109 A5 Polovtsian Dances.mp3
002894793109_A6_Nacht_auf_dem_kahlen_Berge.mp3;14861158;mp3;audio/mpeg;A6: Nacht auf dem kahlen Berge;002894793109 A6 Nacht auf dem kahlen Berge.mp3
002894793109_A7_Waltz__Allegretto_.mp3;14861159;mp3;audio/mpeg;A7: Waltz (Allegretto);002894793109 A7 Waltz (Allegretto).mp3
002894793109_A8_Ensemble__Adagio_.mp3;14861160;mp3;audio/mpeg;A8: Ensemble (Adagio);002894793109 A8 Ensemble (Adagio).mp3
002894793109_A9_Dance_of_the_Nubians.mp3;14861161;mp3;audio/mpeg;A9: Dance of the Nubians;002894793109 A9 Dance of the Nubians.mp3
002894793110_A10_Entracte_1.mp3;14860983;mp3;audio/mpeg;A10: Entracte 1;002894793110 A10 Entracte 1.mp3
002894793110_A11_Entracte_2.mp3;14860984;mp3;audio/mpeg;A11: Entracte 2;002894793110 A11 Entracte 2.mp3
002894793110_A12_Entracte_3.mp3;14860985;mp3;audio/mpeg;A12: Entracte 3;002894793110 A12 Entracte 3.mp3
002894793110_A13_Farandole.mp3;14860986;mp3;audio/mpeg;A13: Farandole;002894793110 A13 Farandole.mp3
002894793110_A14_Pastorale.mp3;14860987;mp3;audio/mpeg;A14: Pastorale;002894793110 A14 Pastorale.mp3
002894793110_A15_Danse_bohemienne.mp3;14860988;mp3;audio/mpeg;A15: Danse bohémienne;002894793110 A15 Danse bohemienne.mp3
002894793110_A16_Marche.mp3;14860989;mp3;audio/mpeg;A16: Marche;002894793110 A16 Marche.mp3
002894793110_A1_La_scala_di_seta.mp3;14860974;mp3;audio/mpeg;A1: La scala di seta;002894793110 A1 La scala di seta.mp3
002894793110_A2_Semiramide.mp3;14860975;mp3;audio/mpeg;A2: Semiramide;002894793110 A2 Semiramide.mp3
002894793110_A3_Il_signor_Bruschino.mp3;14860976;mp3;audio/mpeg;A3: Il signor Bruschino;002894793110 A3 Il signor Bruschino.mp3
002894793110_A4_L_Italiana_in_Algeri.mp3;14860977;mp3;audio/mpeg;A4: L'Italiana in Algeri;002894793110 A4 L'Italiana in Algeri.mp3
002894793110_A5_Trancredi.mp3;14860978;mp3;audio/mpeg;A5: Trancredi;002894793110 A5 Trancredi.mp3
002894793110_A6_La_gazza_ladra.mp3;14860979;mp3;audio/mpeg;A6: La gazza ladra;002894793110 A6 La gazza ladra.mp3
002894793110_A7_Il_barbiere_di_Siviglia.mp3;14860980;mp3;audio/mpeg;A7: Il barbiere di Siviglia;002894793110 A7 Il barbiere di Siviglia.mp3
002894793110_A8_Il_viaggio_a_Reims.mp3;14860981;mp3;audio/mpeg;A8: Il viaggio a Reims;002894793110 A8 Il viaggio a Reims.mp3
002894793110_A9_Preludes_1.mp3;14860982;mp3;audio/mpeg;A9: Préludes 1;002894793110 A9 Preludes 1.mp3
002894793112_A1_Allegro_non_troppo.mp3;14861027;mp3;audio/mpeg;A1: Allegro non troppo;002894793112 A1 Allegro non troppo.mp3
002894793112_A2_Allegro_appassionato.mp3;14861028;mp3;audio/mpeg;A2: Allegro appassionato;002894793112 A2 Allegro appassionato.mp3
002894793112_A3_Andante___Piu_Adagio.mp3;14861029;mp3;audio/mpeg;A3: Andante - Piu Adagio;002894793112 A3 Andante - Piu Adagio.mp3
002894793112_A4_Allegretto_grazioso___Un_poco_piu_Allegro___Tempo_I.mp3;14861030;mp3;audio/mpeg;A4: Allegretto grazioso - Un poco piu Allegro - Tempo I;002894793112 A4 Allegretto grazioso - Un poco piu Allegro - Tempo I.mp3
002894793112_A5_Allegro.mp3;14861031;mp3;audio/mpeg;A5: Allegro;002894793112 A5 Allegro.mp3
002894793112_A6_Andante.mp3;14861032;mp3;audio/mpeg;A6: Andante;002894793112 A6 Andante.mp3
002894793112_A7_Vivace_non_troppo___Poco_meno_Allegro___Tempo_I.mp3;14861033;mp3;audio/mpeg;A7: Vivace non troppo - Poco meno Allegro - Tempo I;002894793112 A7 Vivace non troppo - Poco meno Allegro - Tempo I.mp3
002894793113_A10_Variation_8___Presto_non_troppo.mp3;14861071;mp3;audio/mpeg;A10: Variation 8 - Presto non troppo;002894793113 A10 Variation 8 - Presto non troppo.mp3
002894793113_A11_Finale_Andante.mp3;14861072;mp3;audio/mpeg;A11: Finale Andante;002894793113 A11 Finale Andante.mp3
002894793113_A1_Symphonische_Variationen.mp3;14861062;mp3;audio/mpeg;A1: Symphonische Variationen;002894793113 A1 Symphonische Variationen.mp3
002894793113_A2_Choral_St_Antoni___Andante.mp3;14861063;mp3;audio/mpeg;A2: Choral St Antoni - Andante;002894793113 A2 Choral St Antoni - Andante.mp3
002894793113_A3_Variation_1___Poco_piu_animato.mp3;14861064;mp3;audio/mpeg;A3: Variation 1 - Poco piu animato;002894793113 A3 Variation 1 - Poco piu animato.mp3
002894793113_A4_Variation_2___Piu_vivace.mp3;14861065;mp3;audio/mpeg;A4: Variation 2 - Piu vivace;002894793113 A4 Variation 2 - Piu vivace.mp3
002894793113_A5_Variation_3___Con_moto.mp3;14861066;mp3;audio/mpeg;A5: Variation 3 - Con moto;002894793113 A5 Variation 3 - Con moto.mp3
002894793113_A6_Variation_4___Andante_con_moto.mp3;14861067;mp3;audio/mpeg;A6: Variation 4 - Andante con moto;002894793113 A6 Variation 4 - Andante con moto.mp3
002894793113_A7_Variation_5___Vivace.mp3;14861068;mp3;audio/mpeg;A7: Variation 5 - Vivace;002894793113 A7 Variation 5 - Vivace.mp3
002894793113_A8_Variation_6___Vivace.mp3;14861069;mp3;audio/mpeg;A8: Variation 6 - Vivace;002894793113 A8 Variation 6 - Vivace.mp3
002894793113_A9_Variation_7___Grazioso.mp3;14861070;mp3;audio/mpeg;A9: Variation 7 - Grazioso;002894793113 A9 Variation 7 - Grazioso.mp3
002894793114_A10_Cadenza.mp3;14861211;mp3;audio/mpeg;A10: Cadenza;002894793114 A10 Cadenza.mp3
002894793114_A11_Animato___Allegro.mp3;14861212;mp3;audio/mpeg;A11: Animato - Allegro;002894793114 A11 Animato - Allegro.mp3
002894793114_A1_Allegro_ma_non_troppo___Quasi_moderato.mp3;14861202;mp3;audio/mpeg;A1: Allegro ma non troppo - Quasi moderato;002894793114 A1 Allegro ma non troppo - Quasi moderato.mp3
002894793114_A2_Adagio__ma_non_troppo.mp3;14861203;mp3;audio/mpeg;A2: Adagio, ma non troppo;002894793114 A2 Adagio, ma non troppo.mp3
002894793114_A3_Finale_Allegro_giocoso__ma_non_troppo.mp3;14861204;mp3;audio/mpeg;A3: Finale Allegro giocoso, ma non troppo;002894793114 A3 Finale Allegro giocoso, ma non troppo.mp3
002894793114_A4_Vorspiel___Allegro_moderato.mp3;14861205;mp3;audio/mpeg;A4: Vorspiel - Allegro moderato;002894793114 A4 Vorspiel - Allegro moderato.mp3
002894793114_A5_Adagio.mp3;14861206;mp3;audio/mpeg;A5: Adagio;002894793114 A5 Adagio.mp3
002894793114_A6_Finale_Allegro_energico.mp3;14861207;mp3;audio/mpeg;A6: Finale Allegro energico;002894793114 A6 Finale Allegro energico.mp3
002894793114_A7_Moderato.mp3;14861208;mp3;audio/mpeg;A7: Moderato;002894793114 A7 Moderato.mp3
